Country_Name,country_id,Avg_Length,RRF_Score,Qwen3-8B_score,BGE-M3_score,Jina-v3_score,OpenAI_score,Final_Rank
Mexico,Mexico,1579.0,0.03800138923493926,0.4216834291572435,0.3982062979894977,0.19687500541502947,0.22790908341566957,51
Saudi Arabia,Saudi Arabia,360.5,0.03763859884473002,0.4177157383047409,0.3911960969722834,0.1953470463197198,0.24870300818958876,52
Nigeria,Nigeria,95.25,0.03689266010501439,0.4334718689129476,0.37597148744300757,0.18231755306030076,0.24442557884630833,53
Mozambique,Mozambique,419.25,0.03658677785687176,0.41319039571139954,0.3969294622396034,0.1981224473372027,0.23566562458046061,54
South Korea,South Korea,254.0,0.035673486786018754,0.3995941985735435,0.39480256823632487,0.188646682567917,0.24871775361282894,55
Burkina Faso,Burkina Faso,220.0,0.0354564656927685,0.4260269630869088,0.3848796316488316,0.18793292661914712,0.24386151852418836,56
Libya,Libya,64.75,0.035209051724137935,0.4321516657853306,0.3797580688705568,0.18460761836058467,0.23783165536866452,57
Brazil,Brazil,99.5,0.03514627911402777,0.40635009394386057,0.39763181478858334,0.1863795500193686,0.23955724796797542,58
Central African Republic,Central African Republic,329.0,0.03513747610481798,0.4123591740514831,0.39088668810929483,0.19729451866120734,0.24372561530774903,59
Algeria,Algeria,373.0,0.035131044298429975,0.4146143626029285,0.38886166444622533,0.19177619464253157,0.24509449838541203,60
Morocco,Morocco,568.0,0.03503165346746952,0.42516997853085725,0.38856640158048406,0.19163334175628854,0.23512678110349894,61
Spain,Spain,1366.75,0.03498945792673018,0.4061095193019784,0.3931536383367188,0.19843744400128,0.24334802645526948,62
Zimbabwe,Zimbabwe,482.0,0.034685837438131015,0.4183695359597056,0.3815142671808255,0.19608481132555744,0.2439562454420981,63
Bosnia and Herzegovina,Bosnia and Herzegovina,1082.5,0.034518964565928074,0.40335664136249505,0.3894392322149447,0.18234468199563142,0.25069337803323544,64
Norway,Norway,321.5,0.034333300593525934,0.3979502356829135,0.39630998626593505,0.19453235232838564,0.24037077349237976,65
Lebanon,Lebanon,610.0,0.034022843008766936,0.41388796740399886,0.3946362906603976,0.1878401580753298,0.23724396551581245,66
North Korea,North Korea,173.25,0.03401954351359263,0.40164049198392393,0.39505895297828536,0.18936197438318528,0.24239194399313418,67
Tuvalu,Tuvalu,45.25,0.03383436486884763,0.4146942135821596,0.378213608459937,0.19054745389072997,0.24683712603014168,68
Estonia,Estonia,1293.25,0.0326548272282573,0.39567766457532305,0.3884209601107473,0.1817357111595009,0.24915973229420546,69
Croatia,Croatia,1507.75,0.03189722884737578,0.40483416696932195,0.38859394892466603,0.1867852391053588,0.24110191577020706,70
Venezuela,Venezuela,545.25,0.031605888642316546,0.40753297752576606,0.39422370860586314,0.18221891299610102,0.23229605871540518,71
Liechtenstein,Liechtenstein,498.0,0.03153415161949831,0.3898816307919013,0.39723077747714297,0.1696642428316922,0.23691393775976538,72
DR Congo,DR Congo,277.25,0.031203147518343972,0.41580901798440273,0.38500259451484864,0.17689544168753257,0.23574300256496636,73
Nepal,Nepal,81.25,0.03072187772594531,0.42121627290813535,0.3755801238146691,0.17625243179060543,0.23547368949949843,74
Benin,Benin,264.75,0.03070918343805668,0.422846187913099,0.3794829972817345,0.16872786208438645,0.2304809990539895,75
Israel,Israel,612.75,0.030546688785368224,0.41940975897539695,0.37130505818123116,0.18641438359535462,0.23351855917763764,76
Lesotho,Lesotho,220.25,0.030088296966497202,0.4135664128323334,0.38516784249432967,0.17607689994528608,0.23261673545830913,77
Mauritania,Mauritania,278.75,0.02934529238877065,0.41503798814874016,0.37707529429408626,0.17734053454410081,0.22927419417993639,78
Madagascar,Madagascar,250.25,0.029289446362158914,0.4062276016690302,0.381980043115212,0.18247071177150417,0.23064060886399607,79
Syria,Syria,235.0,0.02928170162940159,0.4090446807464674,0.38662932151194884,0.1777758912589094,0.22265782833380432,80
Brunei,Brunei,147.25,0.02927051659731178,0.4056126826603744,0.38305753518031543,0.18473517512609763,0.22814899519550905,81
Namibia,Namibia,566.0,0.02909387064954421,0.40386776898682564,0.37537647810661595,0.18380771051786216,0.23752836778143305,82
Iceland,Iceland,301.25,0.02904853089864982,0.3916051522150835,0.39474138215604765,0.16485232284242596,0.2319007659478037,83
Oman,Oman,43.75,0.028717275664850203,0.42278342147177617,0.37744712921862467,0.15931644398410688,0.2145709309680152,84
Greece,Greece,219.0,0.0273155637282118,0.3995084312447254,0.3884674677809278,0.17624279436973594,0.20757438014944762,85
Congo,Congo,259.75,0.027271684866621577,0.4080597455227749,0.37581680888645563,0.17158089077242383,0.22251009586427178,86
Zambia,Zambia,624.5,0.02720279096277893,0.38767434932685063,0.370055477551009,0.1776873279663983,0.2411933773056673,87
Equatorial Guinea,Equatorial Guinea,1003.5,0.026807733897247964,0.3923961952888605,0.38854233981818215,0.168863289448672,0.21741107101824358,88
Samoa,Samoa,166.75,0.02676166918266017,0.3959723717774136,0.36920928001928754,0.15848652354878517,0.2433970989826618,89
Egypt,Egypt,561.75,0.026644865758922914,0.4041216759903949,0.37716490048598655,0.17185432538676754,0.2158439398148439,90
Kazakhstan,Kazakhstan,963.25,0.02656767857280962,0.4006431218767864,0.37818812299422866,0.16629406114883533,0.22855952175377028,91
Czech Republic,Czech Republic,2625.0,0.026484054338745414,0.3875335776210186,0.3846052736711365,0.1734824389991842,0.22284977146707421,92
Sudan,Sudan,130.25,0.02625086266390614,0.3949291945801611,0.38146308424357955,0.17661974731641503,0.21317069431828312,93
Mauritius,Mauritius,270.75,0.02624912033779029,0.40146587082354224,0.3705070714871859,0.1716622806692156,0.22822066168601363,94
Cyprus,Cyprus,523.25,0.025926598538947715,0.39514655838652474,0.38714812441106544,0.14669931479166834,0.22600609405552294,95
Belize,Belize,371.0,0.02580281752184198,0.4088112022208456,0.3620090166414657,0.16340847756780053,0.22750477964623492,96
North Macedonia,North Macedonia,1280.5,0.02543507036787236,0.3978358556338989,0.3727515206631854,0.17150523209306495,0.21862991884351865,97
El Salvador,El Salvador,1173.25,0.025372405639040276,0.38320837440821204,0.386816624825578,0.16562686250619096,0.21467648901597963,98
Chile,Chile,1793.0,0.025281218317161833,0.4008125708712309,0.37342603818567777,0.16935719171581048,0.21114475589147838,99
Uzbekistan,Uzbekistan,910.0,0.025161315085785934,0.4082247593710388,0.3776623837543821,0.16036147094595746,0.18287349752441007,100
Poland,Poland,966.25,0.025112905903840226,0.38034484621010606,0.387279208168528,0.1701526654244097,0.20147711888102732,101
Malawi,Malawi,563.25,0.025056447204716493,0.38442909486913435,0.36822074791880444,0.16812804200268022,0.23504845571711858,102
Romania,Romania,1254.75,0.024954309034692382,0.3779808365678274,0.38818909131871593,0.17221072305756147,0.18678855740075712,103
Maldives,Maldives,344.0,0.02477183847686376,0.39327760519167976,0.37575282178340963,0.165754344458066,0.2166912411895295,104
